n,segmented,combined
1,2.064334,7.345907
2,3.063244,6.021282
3,2.962454,6.576463
4,3.104024,5.262787
5,4.710932,5.466783
6,3.561548,5.683951
7,3.283638,14.064998
8,3.012729,5.726787
9,3.040041,6.208884
10,3.353975,7.206919
11,3.317012,6.135076
12,3.254229,5.136627
13,3.386538,5.43775
14,3.242091,4.748598
15,4.123804,4.778647
16,3.086624,4.430097
17,4.483083,5.726942
18,3.769614,4.889172
19,3.090065,5.160962
20,3.482776,6.032866
21,2.958438,7.414371
22,2.867954,5.327267
23,3.265332,5.616315
24,3.184115,5.059835
25,3.307885,5.210626
26,3.611178,5.185301
27,3.157408,4.830495
28,2.62596,5.818289
29,2.946772,5.686295
30,2.86246,5.08497
31,2.819749,5.14019
32,2.480484,4.260878
33,3.088746,5.297201
34,2.998958,5.800457
35,3.041294,5.474224
36,3.009523,6.522144
37,3.505091,5.305583
38,2.876359,4.906137
39,3.657859,6.338691
40,2.800512,5.058156
41,2.527532,5.964082
42,2.952696,5.113404
43,3.461894,5.206814
44,2.68923,4.638877
45,3.173741,5.222894
46,2.921465,8.08121
47,2.512401,6.475181
48,5.685251,5.803305
49,2.75997,5.508405
50,3.035556,5.59314
51,3.189392,5.655328
52,3.139608,5.918292
53,3.462674,5.252424
54,2.679881,7.08738
55,3.317574,5.912679
56,3.722857,16.79436
57,2.899388,6.053305
58,3.101231,5.440873
59,3.166981,5.518663
60,6.596341,5.749094
61,3.356564,5.654661
62,3.411583,5.468624
63,2.722893,5.711679
64,4.759236,5.674445
65,3.089463,5.53098
66,3.534323,5.705528
67,3.823608,6.196378
68,3.034327,6.777806
69,3.343338,5.309076
70,3.516682,5.728403
71,3.575422,5.340215
72,3.426444,7.919388
73,3.669503,6.914705
74,3.228289,7.235618
75,3.504087,6.810383
76,4.302203,7.113387
77,3.029395,6.464796
78,3.19391,7.512036
79,4.087877,6.928363
80,3.231052,7.465462
81,3.590783,11.681464
82,2.813329,6.797864
83,3.028814,7.010612
84,4.424846,6.852451
85,3.051256,6.412696
86,3.433815,5.475739
87,3.158195,14.507386
88,4.081939,7.459051
89,3.141393,9.587939
90,4.287138,5.597339
91,3.032586,5.727763
92,3.037775,5.356426
93,2.747784,5.548888
94,3.987332,5.007626
95,4.28622,5.829015
96,3.48372,10.471287
97,2.968616,6.66568
98,3.025749,5.534451
99,4.351043,5.414479
100,3.724683,5.067048
mean,3.3495171,6.2783577
stdev,0.6397258166919416,1.9469605141521504
statistical_difference,4.4639854239080676e-18,
effect_size,-0.9984158415841584,large
