n,judgement,reason
1,1.0,pass
2,1.0,pass
3,1.0,pass
4,1.0,pass
5,1.0,pass
6,1.0,pass
7,1.0,pass
8,1.0,pass
9,1.0,pass
10,1.0,pass
11,1.0,pass
12,1.0,pass
13,1.0,pass
14,1.0,pass
15,1.0,pass
16,1.0,pass
17,1.0,pass
18,1.0,pass
19,1.0,pass
20,1.0,pass
21,1.0,pass
22,1.0,pass
23,1.0,pass
24,1.0,pass
25,1.0,pass
26,1.0,pass
27,1.0,pass
28,1.0,pass
29,1.0,pass
30,1.0,pass
31,1.0,pass
32,1.0,pass
33,1.0,pass
34,1.0,pass
35,1.0,pass
36,1.0,pass
37,1.0,pass
38,1.0,pass
39,1.0,pass
40,1.0,pass
41,1.0,pass
42,1.0,pass
43,1.0,pass
44,1.0,pass
45,1.0,pass
46,0.0,facial_expression-wrong FE: sleepy
47,0.0,facial_expression-wrong FE: sleepy
48,1.0,pass
49,1.0,pass
50,1.0,pass
51,1.0,pass
52,1.0,pass
53,1.0,pass
54,1.0,pass
55,1.0,pass
56,1.0,pass
57,1.0,pass
58,1.0,pass
59,1.0,pass
60,1.0,pass
61,1.0,pass
62,1.0,pass
63,1.0,pass
64,1.0,pass
65,1.0,pass
66,1.0,pass
67,1.0,pass
68,1.0,pass
69,1.0,pass
70,1.0,pass
71,1.0,pass
72,1.0,pass
73,1.0,pass
74,1.0,pass
75,1.0,pass
76,1.0,pass
77,1.0,pass
78,1.0,pass
79,1.0,pass
80,1.0,pass
81,1.0,pass
82,1.0,pass
83,1.0,pass
84,1.0,pass
85,1.0,pass
86,1.0,pass
87,1.0,pass
88,1.0,pass
89,1.0,pass
90,1.0,pass
91,1.0,pass
92,1.0,pass
93,1.0,pass
94,1.0,pass
95,1.0,pass
96,1.0,pass
97,0.0,facial_expression-wrong FE: sleepy
98,1.0,pass
99,1.0,pass
100,1.0,pass
mean,0.97,
