n,judgement,reason
1,0.0,unknown error
2,0.0,unknown error
3,0.0,unknown error
4,0.0,unknown error
5,0.0,unknown error
6,0.0,unknown error
7,0.0,unknown error
8,0.0,unknown error
9,0.0,unknown error
10,0.0,unknown error
11,0.0,unknown error
12,0.0,unknown error
13,0.0,unknown error
14,0.0,unknown error
15,0.0,unknown error
16,0.0,unknown error
17,0.0,unknown error
18,0.0,unknown error
19,0.0,unknown error
20,0.0,unknown error
21,0.0,unknown error
22,0.0,unknown error
23,0.0,unknown error
24,0.0,unknown error
25,0.0,unknown error
26,0.0,unknown error
27,0.0,unknown error
28,0.0,unknown error
29,0.0,unknown error
30,0.0,unknown error
31,0.0,unknown error
32,0.0,unknown error
33,0.0,unknown error
34,0.0,unknown error
35,0.0,unknown error
36,0.0,unknown error
37,0.0,unknown error
38,0.0,unknown error
39,0.0,unknown error
40,0.0,unknown error
41,0.0,unknown error
42,1.0,pass
43,0.0,unknown error
44,0.0,unknown error
45,0.0,unknown error
46,0.0,unknown error
47,0.0,unknown error
48,0.0,unknown error
49,0.0,unknown error
50,0.0,unknown error
51,0.0,unknown error
52,0.0,unknown error
53,0.0,unknown error
54,0.0,unknown error
55,0.0,unknown error
56,0.0,unknown error
57,0.0,unknown error
58,0.0,unknown error
59,0.0,unknown error
60,0.0,unknown error
61,0.0,unknown error
62,0.0,unknown error
63,0.0,unknown error
64,0.0,unknown error
65,0.0,unknown error
66,0.0,unknown error
67,0.0,unknown error
68,0.0,unknown error
69,0.0,unknown error
70,0.0,unknown error
71,0.0,unknown error
72,0.0,unknown error
73,0.0,unknown error
74,0.0,unknown error
75,0.0,unknown error
76,0.0,unknown error
77,0.0,unknown error
78,0.0,unknown error
79,0.0,unknown error
80,0.0,unknown error
81,0.0,unknown error
82,0.0,unknown error
83,0.0,unknown error
84,0.0,unknown error
85,0.0,unknown error
86,0.0,unknown error
87,0.0,unknown error
88,0.0,unknown error
89,0.0,unknown error
90,0.0,unknown error
91,0.0,unknown error
92,0.0,unknown error
93,0.0,unknown error
94,0.0,unknown error
95,0.0,unknown error
96,0.0,unknown error
97,0.0,unknown error
98,0.0,unknown error
99,0.0,unknown error
100,0.0,unknown error
mean,0.01,
