n,judgement,reason
1,0,arms-error
2,0,arms-error
3,0,head-error
4,0,head-error
5,0,head-error
6,0,arms-error
7,0,head-error
8,0,head-error
9,0,head-error
10,0,arms-error
11,0,arms-error
12,0,arms-error
13,0,arms-error
14,0,head-error
15,0,head-error
16,0,head-error
17,0,arms-error
18,0,head-error
19,0,arms-error
20,0,legs-error
21,0,legs-error
22,0,legs-error
23,0,legs-error
24,0,head-error
25,0,head-error
26,0,arms-error
27,0,arms-error
28,0,head-error
29,0,arms-error
30,0,head-error
31,0,head-error
32,0,head-error
33,0,head-error
34,0,head-error
35,0,head-error
36,0,head-error
37,0,legs-error
38,0,legs-error
39,0,arms-error
40,0,arms-error
41,0,arms-error
42,0,legs-error
43,0,head-error
44,0,legs-error
45,0,head-error
46,0,head-error
47,0,legs-error
48,0,arms-error
49,0,arms-error
50,0,arms-error
51,0,arms-error
52,0,legs-error
53,0,head-error
54,0,legs-error
55,0,head-error
56,0,arms-error
57,0,arms-error
58,0,arms-error
59,0,arms-error
60,0,arms-error
61,0,legs-error
62,0,head-error
63,0,legs-error
64,0,head-error
65,0,arms-error
66,0,arms-error
67,0,legs-error
68,0,head-error
69,0,head-error
70,0,head-error
71,0,head-error
72,0,head-error
73,0,legs-error
74,0,legs-error
75,0,legs-error
76,0,head-error
77,0,head-error
78,0,head-error
79,0,head-error
80,0,head-error
81,0,legs-error
82,0,head-error
83,0,head-error
84,0,head-error
85,0,head-error
86,0,head-error
87,0,head-error
88,0,arms-error
89,0,arms-error
90,0,arms-error
91,0,legs-error
92,0,head-error
93,0,legs-error
94,0,head-error
95,0,arms-error
96,0,arms-error
97,0,head-error
98,0,head-error
99,0,head-error
100,0,head-error
mean,0,
