n,segmented,compiled
1,2.064334,7.345907
2,3.353975,7.206919
3,3.724683,5.067048
4,3.317012,6.135076
5,3.254229,5.136627
6,3.386538,5.43775
7,3.242091,4.748598
8,4.123804,4.778647
9,3.086624,4.430097
10,4.483083,5.726942
11,3.769614,4.889172
12,3.090065,5.160962
13,3.063244,6.021282
14,3.482776,6.032866
15,2.958438,7.414371
16,2.867954,5.327267
17,3.265332,5.616315
18,3.184115,5.059835
19,3.307885,5.210626
20,3.611178,5.185301
21,3.157408,4.830495
22,2.62596,5.818289
23,2.946772,5.686295
24,2.962454,6.576463
25,2.86246,5.08497
26,2.819749,5.14019
27,2.480484,4.260878
28,3.088746,5.297201
29,2.998958,5.800457
30,3.041294,5.474224
31,3.009523,6.522144
32,3.505091,5.305583
33,2.876359,4.906137
34,3.657859,6.338691
35,3.104024,5.262787
36,2.800512,5.058156
37,2.527532,5.964082
38,2.952696,5.113404
39,3.461894,5.206814
40,2.68923,4.638877
41,3.173741,5.222894
42,2.921465,8.08121
43,2.512401,6.475181
44,5.685251,5.803305
45,2.75997,5.508405
46,4.710932,5.466783
47,3.035556,5.59314
48,3.189392,5.655328
49,3.139608,5.918292
50,3.462674,5.252424
51,2.679881,7.08738
52,3.317574,5.912679
53,3.722857,16.79436
54,2.899388,6.053305
55,3.101231,5.440873
56,3.166981,5.518663
57,3.561548,5.683951
58,6.596341,5.749094
59,3.356564,5.654661
60,3.411583,5.468624
61,2.722893,5.711679
62,4.759236,5.674445
63,3.089463,5.53098
64,3.534323,5.705528
65,3.823608,6.196378
66,3.034327,6.777806
67,3.343338,5.309076
68,3.283638,14.064998
69,3.516682,5.728403
70,3.575422,5.340215
71,3.426444,7.919388
72,3.669503,6.914705
73,3.228289,7.235618
74,3.504087,6.810383
75,4.302203,7.113387
76,3.029395,6.464796
77,3.19391,7.512036
78,4.087877,6.928363
79,3.012729,5.726787
80,3.231052,7.465462
81,3.590783,11.681464
82,2.813329,6.797864
83,3.028814,7.010612
84,4.424846,6.852451
85,3.051256,6.412696
86,3.433815,5.475739
87,3.158195,14.507386
88,4.081939,7.459051
89,3.141393,9.587939
90,3.040041,6.208884
91,4.287138,5.597339
92,3.032586,5.727763
93,3.037775,5.356426
94,2.747784,5.548888
95,3.987332,5.007626
96,4.28622,5.829015
97,3.48372,10.471287
98,2.968616,6.66568
99,3.025749,5.534451
100,4.351043,5.414479
mean,3.3495171,6.2783577
stdev,0.6397258166919416,1.9469605141521504
statistical_difference,4.4639854239080676e-18,
effect_size,-0.9984158415841584,large
