n,response_time
1,1.803321
2,1.901621
3,4.028399
4,3.336173
5,3.924859
6,3.405548
7,635.317947
8,4.210411
9,3.372674
10,1.798939
11,1.761474
12,6.038566
13,1.57496
14,2.921606
15,3.771656
16,3.467198
17,3.685312
18,1.641359
19,1.836638
20,3.859884
21,3.597785
22,3.170433
23,3.077546
24,5.015726
25,4.127523
26,265.043876
27,3.316112
28,2.490844
29,4.339258
30,8.56049
31,5.520622
32,5.631632
33,4.040798
34,4.75409
35,5.331543
36,5.589923
37,4.690962
38,6.322124
39,1.06837
40,4.044407
41,6.395643
42,5.267233
43,5.356785
44,5.499592
45,2.996353
46,5.308688
47,7.244618
48,604.243896
49,2.557225
50,3.326164
51,1.27974
52,7.862102
53,3.59895
54,6.592641
55,9.077584
56,2.049019
57,2.491819
58,2.579935
59,1.314193
60,7.066878
61,3.506623
62,3.235768
63,5.014419
64,2.995607
65,1.509316
66,2.349101
67,4.142202
68,3.615375
69,1209.066216
70,4.740079
71,4.905151
72,4.209558
73,5.086449
74,3.909984
75,1.734621
76,2.604629
77,1.548134
78,3.375387
79,3.878882
80,3.338262
81,3.001955
82,1.810157
83,5.603073
84,4.86255
85,3.492033
86,4.919172
87,5.202076
88,4.028572
89,4.960932
90,1.940726
91,276.604948
92,5.017831
93,1.914983
94,2.73946
95,3.73594
96,2.646885
97,604.790012
98,1207.749304
99,5.030697
100,604.050831
mean,57.64369567
stdev,206.852544751744
