n,response_time
1,5.415817
2,5.80697
3,5.505333
4,9.340192
5,6.240391
6,4.832241
7,6.339444
8,5.036578
9,5.321842
10,4.414987
11,5.376628
12,4.512645
13,5.072136
14,6.306218
15,4.242503
16,4.282645
17,6.189701
18,3.743669
19,4.2419
20,3.807132
21,4.492996
22,3.991818
23,4.197453
24,5.477083
25,5.719322
26,3.964003
27,3.731063
28,4.118495
29,4.198569
30,4.154267
31,5.238887
32,4.479441
33,5.714215
34,5.951216
35,4.519061
36,5.379026
37,4.526219
38,3.333899
39,3.967944
40,3.59606
41,3.290433
42,4.041576
43,2.919008
44,3.07273
45,3.012536
46,3.599859
47,2.946597
48,3.050659
49,4.274679
50,4.57495
51,4.45486
52,4.635178
53,6.112576
54,3.388472
55,3.78003
56,3.499497
57,2.934023
58,2.87353
59,2.896056
60,2.938176
61,2.54882
62,4.070292
63,2.885209
64,2.17746
65,2.717298
66,2.496856
67,2.55397
68,2.775697
69,3.91121
70,2.66094
71,2.801172
72,5.670386
73,3.011981
74,2.756231
75,3.0513
76,3.192741
77,3.286814
78,3.782001
79,3.175013
80,4.587272
81,2.768935
82,2.581212
83,2.884113
84,3.130992
85,3.176339
86,2.805464
87,2.921096
88,3.147266
89,4.61979
90,3.375106
91,3.372545
92,3.322229
93,3.292315
94,3.134426
95,2.404397
96,2.628109
97,5.256139
98,2.55158
99,2.520111
100,3.386349
mean,3.9646661
stdev,1.2163753412187208
