n,response_time
1,3.118205
2,4.840703
3,3.095238
4,3.097692
5,3.018556
6,3.061934
7,2.583227
8,2.733335
9,2.633878
10,2.591993
11,2.432823
12,3.543294
13,4.153518
14,3.268531
15,3.203277
16,7.936143
17,3.763344
18,5.456959
19,2.418081
20,3.961112
21,2.570985
22,2.721835
23,2.816004
24,4.275792
25,3.002914
26,4.120862
27,2.809142
28,2.753577
29,2.717737
30,3.048425
31,2.821981
32,2.568059
33,2.894022
34,2.604891
35,3.150698
36,3.23429
37,2.609793
38,2.674295
39,2.22107
40,2.823404
41,4.028365
42,2.525407
43,2.909767
44,3.429865
45,2.658327
46,4.429404
47,3.181389
48,2.833537
49,2.313093
50,3.774516
51,3.538936
52,4.527839
53,4.208775
54,3.784961
55,2.6603
56,8.970743
57,5.124284
58,2.506203
59,3.072935
60,2.493753
61,2.597927
62,2.82975
63,2.656236
64,2.993604
65,4.249215
66,3.041974
67,2.359427
68,3.086617
69,2.61897
70,3.333131
71,2.633059
72,2.458939
73,2.697306
74,2.901322
75,2.990089
76,2.793875
77,2.828078
78,3.331516
79,2.989563
80,2.731452
81,3.192807
82,3.435519
83,3.799143
84,3.684105
85,3.434769
86,3.337406
87,4.204318
88,4.462589
89,3.106035
90,4.25679
91,4.133531
92,2.85873
93,7.167311
94,4.998478
95,3.842573
96,9.003961
97,6.095103
98,5.861322
99,4.078921
100,4.083351
mean,3.4948283
stdev,1.2650552136570319
