n,response_time
1,2.85072
2,2.79909
3,2.991388
4,5.600721
5,4.117773
6,3.440511
7,5.058227
8,4.117916
9,3.496385
10,2.58542
11,6.711784
12,4.088624
13,2.731083
14,5.301923
15,4.331758
16,3.017844
17,3.47156
18,3.601655
19,4.918395
20,6.755624
21,5.074306
22,7.601629
23,3.782483
24,3.058981
25,4.00749
26,4.221127
27,3.490714
28,2.825252
29,2.808264
30,5.105832
31,2.694467
32,3.642531
33,4.550202
34,3.259624
35,2.672091
36,3.092172
37,2.484193
38,4.219791
39,4.139421
40,2.736785
41,3.798392
42,3.341255
43,3.515188
44,3.079682
45,4.795084
46,5.243153
47,3.04258
48,4.478672
49,3.964362
50,3.687185
51,3.921625
52,3.859928
53,3.370073
54,3.249055
55,7.107566
56,2.656882
57,4.505151
58,4.645906
59,3.134543
60,3.189062
61,3.94558
62,2.936288
63,2.331378
64,3.191259
65,3.776381
66,4.450593
67,3.824494
68,3.570297
69,3.394256
70,5.983968
71,5.443353
72,5.801646
73,3.667673
74,4.470952
75,4.076046
76,3.384335
77,4.360267
78,3.144237
79,6.645591
80,4.548522
81,3.437088
82,3.934637
83,4.182822
84,3.234297
85,3.571711
86,3.229464
87,4.585947
88,3.513067
89,3.148
90,3.381166
91,4.417388
92,3.512724
93,2.758619
94,2.745881
95,3.843419
96,3.917721
97,5.067452
98,4.481429
99,2.451266
100,3.028492
mean,3.91430806
stdev,1.0697768918357575
