n,response_time
1,2.351339
2,2.930146
3,4.190293
4,4.445447
5,4.043957
6,4.925595
7,4.168307
8,2.711872
9,2.947649
10,3.057606
11,3.475719
12,3.080148
13,5.68933
14,3.340787
15,4.332069
16,5.353564
17,3.206912
18,2.71335
19,4.390821
20,2.896924
21,3.375713
22,3.016835
23,2.724214
24,2.679709
25,4.22474
26,3.992439
27,3.8864
28,2.248861
29,3.814541
30,3.153094
31,2.752848
32,2.827001
33,2.279272
34,2.824087
35,3.079761
36,3.1459
37,2.351238
38,5.275354
39,4.230206
40,5.07604
41,3.017792
42,4.908969
43,33.078978
44,3.630008
45,3.536092
46,3.798924
47,4.348934
48,2.664366
49,5.749566
50,2.906943
51,3.69489
52,3.674097
53,4.956648
54,3.281843
55,3.407686
56,2.982652
57,3.197497
58,2.787795
59,3.006677
60,4.836598
61,3.863316
62,2.745272
63,4.082517
64,5.030048
65,2.914279
66,3.256349
67,3.399398
68,2.800914
69,3.151524
70,4.32474
71,4.644708
72,21.132007
73,12.170284
74,3.084257
75,3.566409
76,2.917692
77,5.798266
78,5.156461
79,5.575905
80,7.3657
81,3.650196
82,3.040518
83,4.880084
84,3.688136
85,3.847254
86,5.508253
87,3.993238
88,3.1538
89,2.819551
90,4.51162
91,2.914408
92,4.892722
93,4.853425
94,6.482532
95,5.218371
96,4.984972
97,5.089882
98,7.056806
99,3.159224
100,3.04031
mean,4.38442391
stdev,3.632023579552656
