n,judgement,reason
1,1,pass
2,1,pass
3,1,pass
4,1,pass
5,1,pass
6,1,pass
7,1,pass
8,1,pass
9,1,pass
10,1,pass
11,1,pass
12,1,pass
13,1,pass
14,1,pass
15,1,pass
16,1,pass
17,1,pass
18,1,pass
19,1,pass
20,1,pass
21,1,pass
22,1,pass
23,1,pass
24,1,pass
25,1,pass
26,1,pass
27,1,pass
28,1,pass
29,1,pass
30,1,pass
31,1,pass
32,1,pass
33,1,pass
34,1,pass
35,1,pass
36,1,pass
37,1,pass
38,1,pass
39,1,pass
40,1,pass
41,1,pass
42,1,pass
43,1,pass
44,1,pass
45,1,pass
46,1,pass
47,1,pass
48,1,pass
49,1,pass
50,1,pass
51,1,pass
52,1,pass
53,1,pass
54,1,pass
55,1,pass
56,1,pass
57,1,pass
58,1,pass
59,1,pass
60,1,pass
61,1,pass
62,1,pass
63,1,pass
64,1,pass
65,1,pass
66,1,pass
67,1,pass
68,1,pass
69,1,pass
70,1,pass
71,1,pass
72,1,pass
73,1,pass
74,1,pass
75,1,pass
76,1,pass
77,1,pass
78,1,pass
79,1,pass
80,1,pass
81,1,pass
82,1,pass
83,1,pass
84,1,pass
85,1,pass
86,1,pass
87,1,pass
88,1,pass
89,1,pass
90,1,pass
91,1,pass
92,1,pass
93,1,pass
94,1,pass
95,1,pass
96,1,pass
97,1,pass
98,1,pass
99,1,pass
100,1,pass
mean,1,
