n,response_time
1,15.676217
2,14.560655
3,12.394853
4,11.089096
5,13.125239
6,14.814681
7,12.828342
8,10.995034
9,10.797982
10,12.937146
11,14.053867
12,12.54046
13,13.195948
14,12.468738
15,10.908022
16,12.809389
17,11.746384
18,11.833532
19,11.936207
20,12.988939
21,11.345626
22,10.329692
23,12.358703
24,10.802823
25,10.182983
26,12.992196
27,12.272264
28,11.729649
29,11.391904
30,11.773315
31,12.166418
32,10.535299
33,10.035661
34,12.044906
35,9.854093
36,8.695869
37,10.579515
38,8.767412
39,8.748014
40,18.410001
41,17.150601
42,18.48824
43,8.299193
44,10.844161
45,12.734515
46,11.838486
47,8.943079
48,10.290214
49,11.343805
50,10.463846
51,12.231425
52,11.310975
53,10.695561
54,11.816761
55,10.97923
56,12.253633
57,13.578698
58,11.091136
59,9.844166
60,8.464207
61,13.132814
62,8.66885
63,14.158514
64,11.768551
65,11.151738
66,9.632029
67,8.416318
68,9.605526
69,11.850998
70,6.706915
71,18.164223
72,7.425578
73,6.384461
74,7.251328
75,7.265794
76,8.52017
77,9.628529
78,9.148116
79,12.734254
80,9.674408
81,8.486154
82,10.856567
83,13.786272
84,9.490094
85,9.357625
86,10.745873
87,11.961704
88,9.080431
89,9.325791
90,14.286387
91,9.396372
92,12.621107
93,7.051746
94,11.245339
95,9.354016
96,7.372792
97,7.446721
98,13.943492
99,9.513266
100,9.681398
mean,11.17671267
stdev,2.4216638632046052
