n,response_time
1,13.815946
2,13.394156
3,14.316008
4,17.299685
5,18.626528
6,19.976832
7,16.98497
8,16.314906
9,17.060116
10,26.321323
11,18.311232
12,19.896233
13,19.058498
14,18.224584
15,20.83113
16,19.366691
17,20.220978
18,19.624497
19,17.597806
20,17.980938
21,19.277561
22,17.368386
23,19.480437
24,20.153803
25,19.635029
26,16.843033
27,13.833641
28,18.276807
29,15.42786
30,16.224909
31,18.8763
32,15.541664
33,14.400878
34,14.145926
35,15.392627
36,16.023463
37,19.077453
38,17.080083
39,17.371057
40,20.43851
41,22.393726
42,16.739444
43,13.132931
44,12.70357
45,10.641835
46,14.561037
47,15.157819
48,14.885612
49,13.258785
50,11.878354
51,12.97239
52,11.931236
53,13.513554
54,14.094082
55,14.099656
56,12.078997
57,12.609998
58,12.575891
59,12.453681
60,12.129185
61,14.219702
62,12.848541
63,12.720201
64,13.216315
65,13.522019
66,17.05762
67,14.610088
68,17.057513
69,14.243086
70,14.368713
71,11.439474
72,12.366169
73,14.724371
74,15.88878
75,16.721124
76,16.660679
77,21.71365
78,19.171888
79,15.761921
80,19.426104
81,16.269093
82,15.679284
83,17.094768
84,16.666636
85,15.420286
86,16.085424
87,13.821182
88,12.94643
89,12.400306
90,13.150916
91,11.880005
92,13.466843
93,14.399538
94,15.191059
95,11.7869
96,13.790325
97,13.289108
98,12.896479
99,13.612213
100,16.166823
mean,15.77655843
stdev,2.902027936445458
