n,response_time
1,0.887661
2,1.540233
3,3.163949
4,4.15494
5,2.863793
6,1.659343
7,5.064628
8,3.381805
9,2.640623
10,1.597032
11,1.768169
12,1.351373
13,1.45741
14,2.006573
15,2.5979
16,4.032896
17,3.31409
18,1.426979
19,1.489518
20,2.74718
21,3.128955
22,4.2737
23,2.780932
24,2.441917
25,2.508353
26,5.113231
27,2.074216
28,1.611329
29,1.806345
30,5.139782
31,3.75527
32,2.379691
33,3.582064
34,3.702574
35,3.798117
36,2.50722
37,2.537769
38,3.560637
39,1.076817
40,3.144383
41,3.892326
42,3.01546
43,3.30022
44,3.425551
45,1.988192
46,4.631846
47,267.93295
48,604.939494
49,4.404007
50,4.427557
51,1.905419
52,5.614838
53,3.450563
54,4.645647
55,3.125247
56,1.724256
57,1.839399
58,1.661297
59,3.401535
60,3.267983
61,1.661601
62,3.888689
63,2.346576
64,2.509013
65,1.269986
66,1.560404
67,3.539253
68,3.353664
69,3.186697
70,2.802486
71,3.356982
72,5.359614
73,2.866167
74,2.938767
75,1.811172
76,2.680224
77,1.637764
78,3.887086
79,3.317057
80,3.451886
81,4.223675
82,3.877948
83,1.517106
84,3.459212
85,4.302056
86,4.678857
87,1.894889
88,3.407603
89,2.789195
90,1.915279
91,3.396052
92,6.655124
93,3.758061
94,4.570099
95,4.263779
96,1.651491
97,5.375603
98,492.837456
99,4.810378
100,3.16187
mean,16.62634005
stdev,81.27957146331912
