n,response_time
1,1.526757
2,1.344253
3,2.720083
4,2.410836
5,4.70457
6,2.395115
7,2.072397
8,2.593865
9,1.150265
10,1.277301
11,2.160742
12,2.232039
13,1.685711
14,15.419345
15,2.705757
16,3.839275
17,1.310745
18,2.611755
19,1.469075
20,2.968052
21,3.602114
22,239.640887
23,1.011453
24,1.79979
25,2.106967
26,2.871229
27,0.944579
28,0.902893
29,1.79456
30,247.023615
31,1.803574
32,1.243386
33,1.425884
34,2.546758
35,1.751061
36,212.470593
37,4.347476
38,216.472428
39,0.88338
40,214.786268
41,3.025641
42,6.155401
43,1.155266
44,1.937143
45,1.195672
46,1.725304
47,2.293587
48,222.669901
49,227.327526
50,3.124872
51,1.504936
52,2.974768
53,2.06151
54,2.101115
55,1.835679
56,0.825831
57,0.961354
58,1.134101
59,234.387049
60,2.245628
61,1.620077
62,2.144275
63,1.618842
64,224.732366
65,257.543015
66,1.106847
67,15.449701
68,2.742073
69,3.441085
70,2.523251
71,5.531009
72,3.91421
73,1.924459
74,2.241385
75,602.982445
76,9.991979
77,1.924323
78,2.872803
79,2.075545
80,2.451655
81,2.505944
82,2.126615
83,0.942421
84,221.900558
85,10.452614
86,249.406634
87,615.828667
88,2.225812
89,1.079771
90,1.291073
91,2.264983
92,3.469513
93,2.607071
94,4.527939
95,1.140934
96,227.575071
97,8.564161
98,8.277644
99,1.780226
100,195.377526
mean,46.50845639
stdev,112.7636053816743
