n,response_time
1,0.611075
2,0.812716
3,1.687952
4,1.822528
5,1.524984
6,1.479081
7,1.78235
8,0.967193
9,1.758561
10,1.127502
11,1.064656
12,0.986373
13,0.966179
14,1.061788
15,2.265994
16,1.741534
17,1.111152
18,1.143897
19,1.668165
20,2.331087
21,1.817196
22,2.076296
23,1.433933
24,1.155871
25,2.286666
26,0.959609
27,1.613936
28,1.80629
29,1.397273
30,191.490794
31,2.014734
32,1.704589
33,1.6796
34,2.019955
35,1.608904
36,1.829607
37,2.052599
38,1.089635
39,0.7836
40,209.055996
41,1.720699
42,2.491406
43,2.136047
44,1.599348
45,1.302361
46,2.35214
47,605.234079
48,3.194071
49,2.012934
50,2.303197
51,1.309688
52,3.7045
53,3.109123
54,3.857979
55,4.453517
56,1.67179
57,1.576108
58,1.503283
59,2.183715
60,3.119755
61,2.092598
62,2.659071
63,3.43262
64,4.455907
65,1.377348
66,2.622696
67,3.53652
68,2.63074
69,6.120321
70,8.027179
71,1127.429063
72,3.454175
73,2.192864
74,2.290988
75,603.701776
76,2.122143
77,1.418238
78,3.452011
79,3.258994
80,3.795771
81,3.057641
82,3.554524
83,530.695985
84,1.890793
85,2.085191
86,1.831911
87,1.823444
88,2.481387
89,1.881099
90,1.298304
91,239.254236
92,3.821413
93,3.025288
94,1.946757
95,3.508823
96,1.862831
97,15.325712
98,241.477337
99,2.466158
100,2.393805
mean,39.64381252
stdev,153.18365966805803
