n,response_time
1,3.818791
2,3.158292
3,4.854844
4,3.763651
5,3.201014
6,6.81921
7,5.407693
8,3.347603
9,10.236992
10,5.296084
11,3.878646
12,2.72426
13,4.000911
14,4.932502
15,4.684304
16,3.493472
17,2.668646
18,3.59066
19,2.760113
20,11.913679
21,9.703721
22,5.214087
23,4.547829
24,3.231218
25,4.073108
26,7.023974
27,4.400391
28,4.259009
29,3.042762
30,4.78344
31,3.585292
32,3.096243
33,3.74537
34,2.723924
35,3.979644
36,5.434005
37,4.201929
38,5.698417
39,90.833745
40,3.259358
41,3.53989
42,2.895298
43,6.78479
44,3.642601
45,4.539553
46,9.791153
47,3.298751
48,4.043781
49,6.166872
50,4.004797
51,4.105176
52,3.025991
53,4.511729
54,3.775562
55,4.402915
56,2.709578
57,3.679194
58,3.306688
59,3.083835
60,8.962779
61,5.531937
62,3.038567
63,3.854012
64,3.549523
65,7.919131
66,3.231518
67,3.052541
68,3.306152
69,3.397177
70,5.516201
71,3.710404
72,6.610076
73,3.897784
74,3.226841
75,3.861881
76,5.219819
77,3.731807
78,3.662723
79,4.520638
80,4.379523
81,3.989833
82,3.133571
83,4.984759
84,4.062797
85,6.492398
86,5.732741
87,4.481299
88,3.464652
89,3.164813
90,2.746264
91,3.224896
92,3.567637
93,3.935906
94,4.993643
95,3.746384
96,3.250041
97,4.262592
98,4.724029
99,15.012779
100,3.048962
mean,5.38898017
stdev,8.860949863283674
