n,response_time
1,3.497916
2,2.882339
3,3.574044
4,3.500651
5,2.90326
6,265.587116
7,3.723686
8,4.954308
9,3.441285
10,4.895387
11,4.002921
12,5.885425
13,3.398384
14,4.188535
15,4.24591
16,4.220174
17,4.739929
18,3.27615
19,3.068821
20,7.807988
21,5.241122
22,3.977862
23,5.563233
24,4.38478
25,4.580891
26,5.761297
27,5.750549
28,3.714609
29,4.598032
30,4.67747
31,2.765139
32,3.159635
33,2.705068
34,4.274259
35,3.001214
36,2.904705
37,3.883332
38,4.390107
39,2.618635
40,3.733814
41,2.803294
42,3.133942
43,3.123131
44,2.436441
45,1.970323
46,2.61297
47,3.502252
48,3.752508
49,6.572366
50,3.153734
51,3.971885
52,2.685415
53,4.611413
54,4.962394
55,3.463369
56,3.057334
57,3.034889
58,2.709526
59,2.843091
60,4.207388
61,2.792586
62,3.098959
63,5.482424
64,3.318787
65,3.062443
66,4.509036
67,2.994133
68,2.861222
69,4.137809
70,5.157872
71,2.72507
72,4.174501
73,3.24138
74,2.676879
75,3.38653
76,3.844545
77,2.387103
78,2.850861
79,3.442923
80,3.192045
81,2.137057
82,4.224795
83,2.438887
84,2.768622
85,6.440127
86,3.131836
87,2.307027
88,2.51853
89,2.431952
90,2.236031
91,2.584527
92,2.532148
93,2.291975
94,2.296799
95,2.40007
96,2.779752
97,4.089438
98,2.984521
99,3.491362
100,2.884936
mean,6.223951469999999
stdev,26.220985942951636
